ID,Name,LongName,photoUrl,playerUrl,Nationality,Age,↓OVA,POT,Club,Contract,Positions,Height,Weight,Preferred Foot,BOV,Best Position,Joined,Loan Date End,Value,Wage,Release Clause,Attacking,Crossing,Finishing,Heading Accuracy,Short Passing,Volleys,Skill,Dribbling,Curve,FK Accuracy,Long Passing,Ball Control,Movement,Acceleration,Sprint Speed,Agility,Reactions,Balance,Power,Shot Power,Jumping,Stamina,Strength,Long Shots,Mentality,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Defending,Marking,Standing Tackle,Sliding Tackle,Goalkeeping,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes,Total Stats,Base Stats,W/F,SM,A/W,D/W,IR,PAC,SHO,PAS,DRI,DEF,PHY,Hits
192075,G. Bale,Gareth Bale,https://cdn.sofifa.com/players/173/731/21_60.png,http://sofifa.com/player/173731/gareth-bale/210006/,Wales,30.0,83,83.0,"



Tottenham Hotspur","Jun 30, 2021 On Loan",RW,185cm,82kg,Left,83,RW,"Sep 1, 2013","Jun 30, 2021",€35M,€200K,€0,399.5,87,81,84,80,85,419,80,90,87,79.0,83,397,86,89,78,79.0,65,405,90,82.0,69,77,87,362,65,59,83,79.0,76,85,161,54,55,52,52,15.0,15.0,11.0,5.0,6.0,2182,456,3 ★,4★,Medium,Medium,4 ★,88,84,82.0,80.0,58,73.0,282
193105,A. Areola,Alphonse Areola,https://cdn.sofifa.com/players/193/105/21_60.png,http://sofifa.com/player/193105/alphonse-areola/210006/,France,27.0,82,86.0,"



Fulham","Jun 30, 2021 On Loan",GK,195cm,94kg,Right,82,GK,"Jul 1, 2010","Jun 30, 2021",€32M,€71K,€0,139.5,20,19,19,48,16,119,35,16,16,37.0,40,305,56,54,58,79.0,58,264,60,72.0,38,80,14,146,26,23,21,51.0,25,64,43,13,18,12,72,20.5,20.5,20.5,20.5,20.5,1380,456,3 ★,1★,Medium,Medium,2 ★,85,79,80.0,84.0,55,78.0,94
200888,Danilo Pereira,Danilo Luís Hélio Pereira,https://cdn.sofifa.com/players/200/888/21_60.png,http://sofifa.com/player/200888/danilo-luis-helio-pereira/210006/,Portugal,28.0,82,82.0,"



Paris Saint-Germain","Jun 30, 2021 On Loan","CDM, CM",188cm,83kg,Right,82,CDM,"Jul 2, 2015","Jun 30, 2021",€27M,€20K,€0,329.0,58,57,76,83,55,340,75,54,53,80.0,78,323,63,68,57,75.0,60,377,74,62.0,84,89,68,363,82,81,71,72.0,57,84,234,83,83,68,58,9.0,7.0,13.0,14.0,15.0,2024,439,3 ★,3★,Medium,High,3 ★,66,63,72.0,73.0,80,85.0,285
216409,M. Politano,Matteo Politano,https://cdn.sofifa.com/players/216/409/21_60.png,http://sofifa.com/player/216409/matteo-politano/210006/,Italy,26.0,81,81.0,"



Napoli","Jun 30, 2021 On Loan","RM, RW, ST",171cm,67kg,Left,81,RM,"Jul 1, 2019","Jun 30, 2021",€28M,€105K,€0,350.0,80,76,40,79,75,399,83,79,77,76.0,84,423,84,82,89,81.0,87,329,78,51.0,77,41,82,324,63,38,76,77.0,70,79,121,63,29,29,48,11.0,12.0,6.0,8.0,11.0,1994,419,4 ★,4★,High,Medium,2 ★,83,77,78.0,84.0,42,55.0,93
223959,L. Torreira,Lucas Torreira,https://cdn.sofifa.com/players/223/959/21_60.png,http://sofifa.com/player/223959/lucas-torreira/210006/,Uruguay,24.0,81,85.0,"



Atlético Madrid","Jun 30, 2021 On Loan","CDM, CM",166cm,60kg,Right,82,CDM,"Jul 12, 2018","Jun 30, 2021",€33.5M,€74K,€0,336.0,71,61,59,80,65,373,77,70,72,75.0,79,401,76,72,85,78.0,90,354,78,52.0,83,67,74,359,86,83,68,74.0,48,78,240,80,83,77,39,5.0,5.0,13.0,7.0,9.0,2102,448,3 ★,3★,Medium,High,2 ★,74,67,75.0,79.0,79,74.0,194
204259,S. Arias,Santiago Arias,https://cdn.sofifa.com/players/204/259/21_60.png,http://sofifa.com/player/204259/santiago-arias/210006/,Colombia,28.0,81,81.0,"



Bayer 04 Leverkusen","Jun 30, 2021 On Loan",RB,178cm,72kg,Right,81,RB,"Jul 31, 2018","Jun 30, 2021",€23.5M,€60K,€0,315.0,77,51,69,75,43,324,74,47,54,72.0,77,392,77,85,78,78.0,74,349,56,81.0,93,69,50,347,80,77,70,64.0,56,76,233,76,79,78,66,14.0,7.0,14.0,15.0,16.0,2026,435,3 ★,3★,High,Medium,2 ★,81,53,70.0,76.0,77,78.0,72
201995,Felipe Anderson,Felipe Anderson Pereira Gomes,https://cdn.sofifa.com/players/201/995/21_60.png,http://sofifa.com/player/201995/felipe-anderson-pereira-gomes/210006/,Brazil,27.0,81,81.0,"



FC Porto","Jun 30, 2021 On Loan","LM, CAM",175cm,70kg,Right,81,LM,"Jul 15, 2018","Jun 30, 2021",€27.5M,€53K,€0,345.0,79,70,44,79,73,393,87,77,69,76.0,84,428,88,89,89,75.0,87,322,85,34.5,68,55,81,341,67,69,75,77.0,53,84,152,47,59,46,43,12.0,10.0,9.0,5.0,7.0,2024,443,4 ★,4★,High,Medium,3 ★,89,75,78.0,86.0,55,60.0,124
222509,Dani Ceballos,Daniel Ceballos Fernández,https://cdn.sofifa.com/players/222/509/21_60.png,http://sofifa.com/player/222509/daniel-ceballos-fernandez/210006/,Spain,23.0,80,85.0,"



Arsenal","Jun 30, 2021 On Loan","CM, CAM",179cm,68kg,Right,82,CM,"Jul 14, 2017","Jun 30, 2021",€31.5M,€125K,€0,327.0,74,68,41,82,62,388,83,77,63,80.0,85,376,72,67,78,80.0,79,342,76,51.0,77,65,73,365,76,76,76,82.0,55,80,216,67,75,74,63,12.0,15.0,16.0,7.0,13.0,2077,440,3 ★,4★,High,Medium,2 ★,69,70,79.0,83.0,69,70.0,152
220651,Angeliño,José Ángel Esmoris Tasende,https://cdn.sofifa.com/players/220/651/21_60.png,http://sofifa.com/player/220651/jose-angel-esmoris-tasende/210006/,Spain,23.0,80,85.0,"



RB Leipzig","Jun 30, 2021 On Loan",LB,175cm,69kg,Left,81,CM,"Jul 3, 2019","Jun 30, 2021",€29.5M,€95K,€0,345.0,86,59,59,79,62,400,82,83,76,78.0,81,388,86,63,76,78.0,85,369,80,73.0,87,62,67,366,78,79,75,79.0,55,69,226,75,77,74,58,13.0,6.0,13.0,13.0,13.0,2152,447,3 ★,4★,High,Medium,2 ★,73,66,80.0,81.0,75,72.0,2K
212814,João Mário,João Mário Naval Costa Eduardo,https://cdn.sofifa.com/players/212/814/21_60.png,http://sofifa.com/player/212814/joao-mario-naval-costa-eduardo/210006/,Portugal,27.0,80,81.0,"



Sporting CP","Jun 30, 2021 On Loan","CM, CAM, LM",179cm,73kg,Right,80,CM,"Aug 28, 2016","Jun 30, 2021",€24M,€100K,€0,348.0,76,64,55,84,69,389,84,74,67,79.0,85,369,71,68,80,73.0,77,352,76,62.0,77,65,72,353,60,72,73,82.0,66,82,189,57,70,62,45,6.0,15.0,8.0,8.0,8.0,2045,432,4 ★,4★,Medium,Medium,3 ★,69,69,80.0,83.0,64,67.0,79
202477,Deulofeu,Gerard Deulofeu Lázaro,https://cdn.sofifa.com/players/202/477/21_60.png,http://sofifa.com/player/202477/gerard-deulofeu-lazaro/210006/,Spain,26.0,80,81.0,"



Udinese","Jun 30, 2021 On Loan","LM, CF",177cm,73kg,Right,81,RW,"Jun 11, 2018","Jun 30, 2021",€25M,€25K,€0,340.0,76,75,40,77,72,394,87,84,77,62.0,84,427,89,87,93,75.0,83,319,77,35.0,69,67,71,315,60,25,77,76.0,77,77,86,34,30,22,64,12.0,16.0,14.0,11.0,11.0,1945,419,4 ★,4★,High,Low,3 ★,88,75,75.0,86.0,30,65.0,103
192075,Ricardo Goulart,Ricardo Goulart Pereira,https://cdn.sofifa.com/players/192/064/21_60.png,http://sofifa.com/player/192064/ricardo-goulart-pereira/210006/,China PR,29.0,80,80.0,"



Hebei China Fortune FC","Jun 30, 2021 On Loan","CF, CAM, ST",181cm,80kg,Right,80,CF,"Jan 13, 2015","Jun 30, 2021",€21M,€35K,€0,386.0,73,77,78,81,77,377,78,70,72,74.0,83,390,80,81,72,76.0,81,377,78,75.0,75,70,79,330,61,33,83,77.0,76,78,112,37,41,34,46,9.0,14.0,8.0,8.0,7.0,2018,426,4 ★,4★,High,Medium,2 ★,81,78,77.0,79.0,41,70.0,71
244621,Vinícius,Carlos Vinícius Alves Morais,https://cdn.sofifa.com/players/244/621/21_60.png,http://sofifa.com/player/244621/carlos-vinicius-alves-morais/210006/,Brazil,25.0,79,84.0,"



Tottenham Hotspur","Jun 30, 2021 On Loan",ST,190cm,83kg,Left,81,ST,"Jul 20, 2019","Jun 30, 2021",€26M,€18K,€0,342.0,45,83,70,68,76,303,77,65,36,47.0,78,338,74,76,65,81.0,42,372,84,52.0,77,89,70,342,84,41,84,62.0,71,86,102,44,33,25,54,15.0,13.0,13.0,7.0,6.0,1853,411,3 ★,3★,High,Medium,1 ★,75,80,57.0,75.0,41,83.0,276
224254,C. Pavón,Cristian Pavón,https://cdn.sofifa.com/players/224/254/21_60.png,http://sofifa.com/player/224254/cristian-pavon/210006/,Argentina,24.0,79,85.0,"



LA Galaxy","Dec 31, 2020 On Loan","LW, RW, LM",174cm,78kg,Right,81,RM,"Jul 14, 2014","Dec 31, 2020",€27.5M,€21K,€0,335.0,76,72,48,76,63,376,78,78,76,68.0,76,437,93,90,92,77.0,85,395,83,65.0,91,73,83,330,56,49,76,77.0,72,70,138,65,40,33,50,11.0,10.0,9.0,13.0,7.0,2061,444,3 ★,4★,High,Medium,1 ★,91,76,75.0,79.0,49,74.0,150
219809,T. Bakayoko,Tiemoué Bakayoko,https://cdn.sofifa.com/players/219/809/21_60.png,http://sofifa.com/player/219809/tiemoue-bakayoko/210006/,France,25.0,79,81.0,"



Napoli","Jun 30, 2021 On Loan","CDM, CM",189cm,85kg,Right,80,CDM,"Jul 15, 2017","Jun 30, 2021",€20M,€77K,€0,277.0,55,37,71,78,36,315,77,51,37,73.0,77,323,63,65,64,75.0,56,362,72,75.0,78,87,50,338,85,79,59,70.0,45,77,232,72,81,79,61,11.0,15.0,11.0,14.0,10.0,1908,416,3 ★,3★,Medium,Medium,2 ★,64,48,68.0,75.0,77,84.0,148
211147,V. Lazaro,Valentino Lazaro,https://cdn.sofifa.com/players/211/147/21_60.png,http://sofifa.com/player/211147/valentino-lazaro/210006/,Austria,24.0,79,83.0,"



Borussia Mönchengladbach","Jun 30, 2021 On Loan","RM, RWB, RB",180cm,76kg,Right,80,RM,"Jul 1, 2019","Jun 30, 2021",€25M,€81K,€0,347.0,80,69,49,77,72,380,81,77,69,72.0,81,397,84,80,80,76.0,77,332,69,56.0,71,66,70,354,65,71,76,75.0,67,77,211,72,70,69,48,8.0,13.0,11.0,8.0,8.0,2069,444,3 ★,4★,High,High,1 ★,82,70,76.0,80.0,69,67.0,135
231691,A. Lafont,Alban Lafont,https://cdn.sofifa.com/players/231/691/21_60.png,http://sofifa.com/player/231691/alban-lafont/210006/,France,21.0,78,84.0,"



FC Nantes","Jun 30, 2021 On Loan",GK,193cm,82kg,Right,78,GK,"Jul 2, 2018","Jun 30, 2021",€18.5M,€25K,€0,139.5,13,6,19,54,9,119,35,13,12,38.0,40,275,48,45,60,69.0,53,245,53,73.0,40,70,9,146,20,17,21,47.0,16,59,46,20,14,12,72,20.5,20.5,20.5,20.5,20.5,1234,428,3 ★,1★,Medium,Medium,2 ★,79,76,70.0,82.0,46,75.0,162
222943,Jony,Jonathan Rodríguez Menéndez,https://cdn.sofifa.com/players/222/943/21_60.png,http://sofifa.com/player/222943/jonathan-rodriguez-menendez/210006/,Spain,28.0,78,78.0,"



CA Osasuna","Jun 30, 2021 On Loan",LM,179cm,71kg,Left,78,LM,"Jul 23, 2019","Jun 30, 2021",€14M,€58K,€0,333.0,80,69,44,77,63,388,77,81,78,75.0,77,398,79,85,82,73.0,79,317,69,35.0,73,67,73,325,60,56,74,76.0,59,76,152,55,51,46,62,11.0,16.0,13.0,13.0,9.0,1975,423,3 ★,3★,High,Medium,1 ★,82,69,77.0,77.0,52,66.0,41
220477,M. Caldara,Mattia Caldara,https://cdn.sofifa.com/players/220/477/21_60.png,http://sofifa.com/player/220477/mattia-caldara/210006/,Italy,26.0,78,83.0,"



Atalanta","Jun 30, 2021 On Loan",CB,187cm,80kg,Right,80,CB,"Aug 2, 2018","Jun 30, 2021",€18.5M,€37K,€0,264.0,34,36,80,63,51,227,62,20,24,58.0,63,311,59,61,58,74.0,59,272,38,76.0,61,77,20,254,76,82,34,32.0,30,74,246,82,84,80,43,14.0,9.0,6.0,9.0,5.0,1617,357,3 ★,2★,Medium,High,2 ★,60,34,46.0,62.0,82,73.0,142
